Topic,Document ID,Similarity Score,Paragraph
109,PR36066,0.74512255,"Sugestão de gêneros discursivos pertinentes para se desenvolver esse trabalho: agenda cultural; anúncio de emprego; anúncio de jornal/revista, para web/internet e spot; propaganda de rádio e de TV; anúncio impresso e para web/internet; artigo de opinião; banner; blog; caricatura; carta ao leitor; cartaz; cartum; charges; comentários; crônica jornalística; discussões e debates; documentário;
"
109,PR36072,0.7109997,"Nesse sentido, seguem sugestões de gêneros discursivos pertinentes ao desenvolvimento desse trabalho: agenda cultural; anúncio de emprego; anúncio de jornal/revista para web/internet e spot; propaganda de rádio e de TV; anúncio impresso e para web/internet; artigo de opinião; banner; blog; caricatura; carta do leitor; cartaz; cartum; charge; comentários; crônica jornalística; discussões e debates; documentário; editorial; ensaio; entrevista; folheto; fotoblog; fotorreportagem; foto denúncia; gifs; home page; indoor; infográfico; jornais radiofônicos e televisivos; jingle; memes; mesa redonda; notícia; notícias para rádios; panfleto; podcasts noticiosos e de opinião; political remix; reportagem; reportagem multimidiática; resenha; roteiro de perguntas, enquetes e entrevistas; sinopses de filmes; spot; telejornal; tirinhas; videoconferência; vídeos informativos; vlogs noticiosos, culturais e de opinião; produção de audiovisual: curtas e documentário, entre outros.
"
109,PR33871,0.7095413,"caricatura; carta ao leitor; cartaz; cartum; charges; comentários; crônica jornalística; discussões e debates; documentário; editorial; ensaio; entrevista; folheto; fotoblog; fotorreportagem; fotodenúncia; gifs; home page; indoor; infográfico; jornais radiofônicos e televisivos; jingle; memes; mesa redonda; notícia; notícias para rádios; panfleto; podcasts noticiosos e de opinião; political remix; propaganda de rádio e TV; reportagem; reportagem multimidiática; resenha; roteiro de perguntas; sinopses de filmes; spot; telejornal; tirinhas; videoconferência; vídeos informativos; vlogs noticiosos, culturais e de opinião, entre outros.
"
109,BNCC1673,0.700242,"Vários são os gêneros possíveis de serem contemplados em atividades de leitura e produção de textos. Além dos gêneros já elencados para o Ensino Fundamental (entrevista, reportagem, fotorreportagem, foto-denúncia, artigo de opinião, editorial, resenha crítica, crônica, comentário, debate, vlog noticioso, vlog cultural, meme, charge, charge digital, political remix, anúncio publicitário, propaganda, jingle, spot, entre outros), devem ter espaço gêneros mais complexos relacionados com a apuração e o relato de fatos e situações (reportagem multimidiática, documentário) e/ou com a opinião (crítica da mídia, ensaio e vlog de opinião etc.), tanto no que se refere a práticas de leitura/recepção quanto às de produção.
"
109,PR33652,0.6677044,"em situações que envolvam as práticas da leitura, compreensão e produção escrita; da oralidade, compreensão e produção oral; e dos conhecimentos linguísticos/análise linguística/semiótica, por meio do estudo de gêneros discursivos da esfera jornalística em diferentes fontes, veículos e mídias, para o desenvolvimento da autonomia e do pensamento crítico, expressando suas ideias de forma ética e respeitosa nos diversos espaços sociais. Exemplos de gêneros discursivos nesse campo são: agenda cultural; anúncio de emprego/publicitário (de jornal, revista, internet e impresso); artigo de opinião; banner; blog e vlog; caricatura; carta ao leitor; cartaz; charge/charge digital; comentários; crônica jornalística; discussões e debates; documentário; editorial; ensaio; entrevista; folheto; fotoblog; fotorreportagem; fotodenúncia; gameplay; gifs; infográfico; jingle; memes; notícias (breaking news; fake news); notícias para rádios; panfleto; podcasts noticiosos e de opinião; political remix (posters,	magazines,	minidocumentários,	websites,	games);
"
109,MT22762,0.6582049,"cartaz, banner, folheto, panfleto, anúncio impresso e para internet, spot, propaganda de rádio, TV etc. -, da ferramenta de edição de texto, áudio ou vídeo que será utilizada, do
"
109,PR36067,0.6550268,"editorial; ensaio; entrevista; folheto; fotoblog; fotorreportagem; foto denúncia; gifs; home page; indoor; infográfico; jornais radiofônicos e televisivos; jingle; memes; mesa redonda; notícia; notícias para rádios; panfleto; podcasts noticiosos e de opinião; political remix; reportagem; reportagem multimidiática; resenha; roteiro de perguntas, enquetes e entrevistas; sinopses de filmes; spot; telejornal; tirinhas; videoconferência; vídeos informativos; vlogs noticiosos, culturais e de opinião; produção de audiovisual: curtas e documentário, entre outros.
"
109,PE27830,0.6431183,"(EM13LP43) Atuar de forma fundamentada, ética e crítica na produção e no compartilhamento de comentários, textos noticiosos e de opinião, memes, gifs, remixes variados etc. em redes sociais ou outros ambientes digitais.	(EM13LP43PE) Atuar, de forma fundamentada, ética e crítica na produção e no compartilhamento de comentários, textos do campo jornalístico-midiático, em redes sociais ou outros ambientes digitais.	Curadoria de informações. Condições e mecanismos de disseminação de fake news; apreciação e réplica. Textos do campo jornalístico-midiático. (textos noticiosos e de opinião, memes, gifs, remixes variados etc.)	Leitura Análise linguística/semiótica	JORNALÍSTICO-MIDIÁTICO VIDA PÚBLICA
"
109,PE27744,0.63709444,"(EM13LP43) Atuar de forma fundamentada, ética e crítica na produção e no compartilhamento de comentários, textos noticiosos e de opinião, memes, gifs, remixes variados etc. em redes sociais ou outros ambientes digitais.	(EM13LP43) Atuar, de forma fundamentada, ética e crítica, na produção e no compartilhamento de comentários, textos noticiosos e de opinião, memes, gifs, remixes variados etc. em redes sociais ou outros ambientes digitais.	Contexto de produção, circulação e recepção de conteúdos na cultura de rede. Curadoria de informações. O cyberbullying; dimensões éticas no trato e compartilhamento de conteúdo pela Internet. Apreciação e réplica.	Produção textual	CAMPO JORNALÍSTICO MIDIÁTICO
"
109,ES5890,0.6357934,"Campo jornalístico-midiático	- Curadoria de informação; - Consideração das condições de produção; - Relação entre textos.	EM13LP43	Atuar de forma fundamentada, ética e crítica na produção	e	no	compartilhamento	de comentários, textos noticiosos e de opinião, memes, gifs, remixes variados etc. em redes sociais ou outros ambientes digitais.	
"
109,RO37683,0.62510973,"			-	Usos de recursos linguísticos e multissemióticos e seus efeitos de sentido. -	Heterogeneidade e variedade de registros, dialetos, idioletos, estilizações e usos em âmbito global, respeitando o fenômeno linguístico, sem preconceito, nas esferas de circulação: entrevista, reportagem, fotorreportagem, foto-denúncia, artigo de opinião, editorial, resenha crítica, crônica, comentário, debate, vlog noticioso, vlog cultural, meme, charge, charge digital, political remix, anúncio publicitário, propaganda, entre outros). -	Marcas linguísticas e extralinguísticas características do texto escrito e oral em mídias sociais. -	Relação entre os gêneros em circulação no campo jornalístico-midiático, mídias e práticas da cultura digital.
"
